1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
2014-2015,19,64733,122275,Los Angeles,Los Angeles Unified,Academy of Environmental & Social Policy (ESP) at Roosevelt High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,171,108,63.20%,114,66.70%,160,101,63.10%,107,66.90%,Y
2014-2015,19,64733,122333,Los Angeles,Los Angeles Unified,"Math, Science, & Technology Magnet Academy at Roosevelt High",Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,442,284,64.30%,320,72.40%,441,284,64.40%,320,72.60%,Y
2014-2015,19,64733,122341,Los Angeles,Los Angeles Unified,East Los Angeles Performing Arts Academy at Esteban E. Torres High No. 1,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,462,328,71.00%,334,72.30%,450,324,72.00%,330,73.30%,Y
2014-2015,19,64733,122358,Los Angeles,Los Angeles Unified,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,439,398,90.70%,405,92.30%,415,375,90.40%,382,92.00%,Y
2014-2015,19,64733,122366,Los Angeles,Los Angeles Unified,Social Justice Leadership Academy at Esteban E. Torres High No. 5,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,430,285,66.30%,286,66.50%,410,272,66.30%,273,66.60%,Y
2014-2015,19,64733,122374,Los Angeles,Los Angeles Unified,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,418,336,80.40%,341,81.60%,399,319,79.90%,324,81.20%,Y
2014-2015,19,64733,122382,Los Angeles,Los Angeles Unified,Engineering and Technology Academy at Esteban E. Torres High No. 3,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,453,324,71.50%,331,73.10%,431,314,72.90%,321,74.50%,Y
2014-2015,19,64733,122390,Los Angeles,Los Angeles Unified,Orchard Academies 2B,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,467,441,94.40%,453,97.00%,467,441,94.40%,453,97.00%,Y
2014-2015,19,64733,122408,Los Angeles,Los Angeles Unified,Orchard Academies 2C,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,451,429,95.10%,435,96.50%,451,429,95.10%,435,96.50%,Y
2014-2015,19,64733,122416,Los Angeles,Los Angeles Unified,Barack Obama Global Preparation Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,756,607,80.30%,612,81.00%,756,607,80.30%,612,81.00%,Y
2014-2015,19,64733,122481,Los Angeles,Los Angeles Unified,Animo Jefferson Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1216,Directly funded,Y,6,8,546,504,92.30%,541,99.10%,546,504,92.30%,541,99.10%,Y
2014-2015,19,64733,122499,Los Angeles,Los Angeles Unified,Animo Westside Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1217,Directly funded,Y,6,8,403,235,58.30%,300,74.40%,403,235,58.30%,300,74.40%,Y
2014-2015,19,64733,122556,Los Angeles,Los Angeles Unified,Citizens of the World Charter Hollywood,Unified School District,Elementary Schools (Public),Traditional,,Y,1200,Directly funded,Y,K,8,402,110,27.40%,158,39.30%,395,107,27.10%,154,39.00%,Y
2014-2015,19,64733,122564,Los Angeles,Los Angeles Unified,Camino Nuevo Elementary No. 3,Unified School District,Elementary Schools (Public),Traditional,,Y,1212,Directly funded,Y,K,8,764,754,98.70%,757,99.10%,756,746,98.70%,749,99.10%,Y
2014-2015,19,64733,122598,Los Angeles,Los Angeles Unified,PUC Triumph Charter High,Unified School District,High Schools (Public),Traditional,,Y,1233,Directly funded,Y,9,12,320,215,67.20%,263,82.20%,308,205,66.60%,253,82.10%,Y
2014-2015,19,64733,122606,Los Angeles,Los Angeles Unified,PUC Lakeview Charter High,Unified School District,High Schools (Public),Traditional,,Y,1241,Directly funded,Y,9,12,388,254,65.50%,311,80.20%,377,247,65.50%,304,80.60%,Y
2014-2015,19,64733,122614,Los Angeles,Los Angeles Unified,Aspire Gateway Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1213,Directly funded,Y,K,5,400,316,79.00%,364,91.00%,391,309,79.00%,355,90.80%,Y
2014-2015,19,64733,122622,Los Angeles,Los Angeles Unified,Aspire Firestone Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1214,Directly funded,Y,K,5,417,327,78.40%,380,91.10%,412,322,78.20%,375,91.00%,Y
2014-2015,19,64733,122630,Los Angeles,Los Angeles Unified,Para Los Ninos - Evelyn Thurman Gratts Primary,Unified School District,Elementary Schools (Public),Traditional,,Y,1215,Directly funded,Y,K,2,331,312,94.30%,325,98.20%,315,296,94.00%,309,98.10%,Y
2014-2015,19,64733,122655,Los Angeles,Los Angeles Unified,Celerity Octavia Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1232,Directly funded,Y,K,8,453,369,81.50%,407,89.80%,437,357,81.70%,394,90.20%,Y
2014-2015,19,64733,122721,Los Angeles,Los Angeles Unified,Aspire Pacific Academy,Unified School District,K-12 Schools (Public),Traditional,,Y,1230,Directly funded,Y,6,12,457,402,88.00%,438,95.80%,441,387,87.80%,423,95.90%,Y
2014-2015,19,64733,122739,Los Angeles,Los Angeles Unified,Vista Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,Y,1234,Directly funded,Y,6,8,408,356,87.30%,384,94.10%,408,356,87.30%,384,94.10%,Y
2014-2015,19,64733,122747,Los Angeles,Los Angeles Unified,Magnolia Science Academy Bell,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1236,Directly funded,Y,6,8,489,403,82.40%,460,94.10%,489,403,82.40%,460,94.10%,Y
2014-2015,19,64733,122754,Los Angeles,Los Angeles Unified,Valley Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,,Y,1237,Directly funded,Y,K,5,264,49,18.60%,75,28.40%,263,48,18.30%,74,28.10%,Y
2014-2015,19,64733,122762,Los Angeles,Los Angeles Unified,Los Angeles Big Picture High,Unified School District,High Schools (Public),Traditional,,Y,1239,Directly funded,Y,9,12,87,64,73.60%,71,81.60%,81,59,72.80%,66,81.50%,Y
2014-2015,19,64733,122838,Los Angeles,Los Angeles Unified,Valley Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1238,Directly funded,Y,6,8,177,70,39.50%,88,49.70%,177,70,39.50%,88,49.70%,Y
2014-2015,19,64733,122861,Los Angeles,Los Angeles Unified,Camino Nuevo Academy #2,Unified School District,Elementary Schools (Public),Traditional,,Y,1231,Directly funded,Y,K,8,479,412,86.00%,458,95.60%,475,408,85.90%,454,95.60%,Y
2014-2015,19,64733,123133,Los Angeles,Los Angeles Unified,Alliance Susan and Eric Smidt Technology High,Unified School District,High Schools (Public),Traditional,,Y,1163,Directly funded,Y,9,12,345,298,86.40%,337,97.70%,344,297,86.30%,336,97.70%,Y
2014-2015,19,64733,123141,Los Angeles,Los Angeles Unified,Alliance College-Ready Academy High 16,Unified School District,High Schools (Public),Traditional,,Y,1164,Directly funded,Y,9,12,303,263,86.80%,288,95.00%,279,243,87.10%,264,94.60%,Y
2014-2015,19,64733,123158,Los Angeles,Los Angeles Unified,Arts In Action Community Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,Y,1218,Directly funded,Y,K,5,336,224,66.70%,235,69.90%,327,224,68.50%,235,71.90%,Y
2014-2015,19,64733,123166,Los Angeles,Los Angeles Unified,Celerity Palmati Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1246,Directly funded,Y,K,8,413,386,93.50%,399,96.60%,404,377,93.30%,390,96.50%,Y
2014-2015,19,64733,123984,Los Angeles,Los Angeles Unified,Celerity Cardinal Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1285,Directly funded,Y,K,8,315,251,79.70%,275,87.30%,308,248,80.50%,270,87.70%,Y
2014-2015,19,64733,123992,Los Angeles,Los Angeles Unified,Animo Ellen Ochoa Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1286,Directly funded,Y,6,8,127,116,91.30%,123,96.90%,127,116,91.30%,123,96.90%,Y
2014-2015,19,64733,124008,Los Angeles,Los Angeles Unified,Animo James B. Taylor Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1287,Directly funded,Y,6,8,310,292,94.20%,307,99.00%,310,292,94.20%,307,99.00%,Y
2014-2015,19,64733,124016,Los Angeles,Los Angeles Unified,Animo Western Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1288,Directly funded,Y,6,8,623,552,88.60%,584,93.70%,623,552,88.60%,584,93.70%,Y
2014-2015,19,64733,124024,Los Angeles,Los Angeles Unified,Animo Phillis Wheatley Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1289,Directly funded,Y,6,8,608,539,88.70%,567,93.30%,608,539,88.70%,567,93.30%,Y
2014-2015,19,64733,124198,Los Angeles,Los Angeles Unified,Extera Public,Unified School District,Elementary Schools (Public),Traditional,,Y,1300,Directly funded,Y,K,6,471,376,79.80%,430,91.30%,464,369,79.50%,423,91.20%,Y
2014-2015,19,64733,124222,Los Angeles,Los Angeles Unified,Rise Kohyang Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1315,Directly funded,Y,6,8,324,231,71.30%,292,90.10%,324,231,71.30%,292,90.10%,Y
2014-2015,19,64733,124362,Los Angeles,Los Angeles Unified,Valley Academy of Arts and Sciences,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,270",575,45.30%,718,56.50%,"1,226",549,44.80%,688,56.10%,Y
2014-2015,19,64733,124370,Los Angeles,Los Angeles Unified,"Cesar E. Chavez Learning Academies-Arts,Theatre, Entertainment (ArTES)",Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,506,332,65.60%,386,76.30%,485,320,66.00%,370,76.30%,Y
2014-2015,19,64733,124388,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,506,382,75.50%,428,84.60%,500,378,75.60%,424,84.80%,Y
2014-2015,19,64733,124396,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,474,297,62.70%,353,74.50%,456,285,62.50%,340,74.60%,Y
2014-2015,19,64733,124404,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Teacher Preparation Academy,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,551,348,63.20%,390,70.80%,525,334,63.60%,375,71.40%,Y
2014-2015,19,64733,124412,Los Angeles,Los Angeles Unified,Los Angeles River at Sonia Sotomayor Learning Academies,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,365,248,67.90%,264,72.30%,339,233,68.70%,248,73.20%,Y
2014-2015,19,64733,124420,Los Angeles,Los Angeles Unified,School of History and Dramatic Arts at Sonia Sotomayor Learning Academies,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,396,218,55.10%,239,60.40%,368,204,55.40%,222,60.30%,Y
2014-2015,19,64733,124446,Los Angeles,Los Angeles Unified,Dr. Julian Nava Learning Academies-School of Arts and Culture,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,517,465,89.90%,484,93.60%,517,465,89.90%,484,93.60%,Y
2014-2015,19,64733,124453,Los Angeles,Los Angeles Unified,Dr. Julian Nava Learning Academies-School of Business and Technology,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,507,457,90.10%,476,93.90%,507,457,90.10%,476,93.90%,Y
2014-2015,19,64733,124479,Los Angeles,Los Angeles Unified,Dr. Maya Angelou Community High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,260",809,64.20%,831,66.00%,"1,193",767,64.30%,788,66.10%,Y
2014-2015,19,64733,124487,Los Angeles,Los Angeles Unified,Public Service Community at Diego Rivera Learning Complex,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,510,464,91.00%,466,91.40%,495,452,91.30%,454,91.70%,Y
2014-2015,19,64733,124495,Los Angeles,Los Angeles Unified,Communication and Technology at Diego Rivera Learning Complex,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,541,502,92.80%,504,93.20%,526,492,93.50%,494,93.90%,Y
2014-2015,19,64733,124503,Los Angeles,Los Angeles Unified,Green Design at Diego Rivera Learning Complex,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,434,403,92.90%,405,93.30%,424,395,93.20%,397,93.60%,Y
2014-2015,19,64733,124511,Los Angeles,Los Angeles Unified,Performing Arts Community at Diego Rivera Learning Complex,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,460,402,87.40%,404,87.80%,449,397,88.40%,399,88.90%,Y
2014-2015,19,64733,124529,Los Angeles,Los Angeles Unified,Rancho Dominguez Preparatory,Unified School District,K-12 Schools (Public),Traditional,,N,,,N,6,12,"1,115",636,57.00%,756,67.80%,"1,094",626,57.20%,743,67.90%,Y
2014-2015,19,64733,124560,Los Angeles,Los Angeles Unified,Synergy Quantum Academy,Unified School District,High Schools (Public),Traditional,,Y,1299,Directly funded,Y,9,12,599,510,85.10%,575,96.00%,572,489,85.50%,549,96.00%,Y
2014-2015,19,64733,124784,Los Angeles,Los Angeles Unified,Aspire Slauson Academy Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1330,Directly funded,Y,K,6,324,295,91.00%,310,95.70%,317,288,90.90%,303,95.60%,Y
2014-2015,19,64733,124792,Los Angeles,Los Angeles Unified,Aspire Juanita Tate Academy Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1331,Directly funded,Y,K,6,328,295,89.90%,304,92.70%,322,289,89.80%,298,92.50%,Y
2014-2015,19,64733,124800,Los Angeles,Los Angeles Unified,Aspire Inskeep Academy Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1332,Directly funded,Y,K,6,356,331,93.00%,346,97.20%,351,326,92.90%,341,97.20%,Y
2014-2015,19,64733,124818,Los Angeles,Los Angeles Unified,Los Angeles Leadership Primary Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1333,Directly funded,Y,K,5,283,189,66.80%,230,81.30%,277,184,66.40%,224,80.90%,Y
2014-2015,19,64733,124826,Los Angeles,Los Angeles Unified,Camino Nuevo Charter Academy No. 4,Unified School District,Elementary Schools (Public),Traditional,,Y,1334,Directly funded,Y,K,8,614,480,78.20%,566,92.20%,606,473,78.10%,558,92.10%,Y
2014-2015,19,64733,124883,Los Angeles,Los Angeles Unified,Animo College Preparatory Academy,Unified School District,High Schools (Public),Traditional,,Y,1342,Directly funded,Y,9,12,471,451,95.80%,459,97.50%,454,434,95.60%,442,97.40%,Y
2014-2015,19,64733,124891,Los Angeles,Los Angeles Unified,Alliance Renee and Meyer Luskin Academy High,Unified School District,High Schools (Public),Traditional,,Y,1343,Directly funded,Y,9,12,548,505,92.20%,524,95.60%,523,489,93.50%,508,97.10%,Y
2014-2015,19,64733,124933,Los Angeles,Los Angeles Unified,PUC Early College Academy for Leaders and Scholars (ECALS),Unified School District,High Schools (Public),Traditional,,Y,1354,Directly funded,Y,9,12,446,263,59.00%,292,65.50%,431,254,58.90%,281,65.20%,Y
2014-2015,19,64733,124941,Los Angeles,Los Angeles Unified,Alliance Margaret M. Bloomfield Technology Academy High,Unified School District,High Schools (Public),Traditional,,Y,1356,Directly funded,Y,9,12,104,85,81.70%,97,93.30%,104,85,81.70%,97,93.30%,Y
2014-2015,19,64733,125096,Los Angeles,Los Angeles Unified,Academy for Enriched Sciences,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,1,5,264,56,21.20%,79,29.90%,264,56,21.20%,79,29.90%,Y
2014-2015,19,64733,125609,Los Angeles,Los Angeles Unified,KIPP Philosophers Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1378,Directly funded,Y,5,8,258,230,89.10%,246,95.30%,258,230,89.10%,246,95.30%,Y
2014-2015,19,64733,125625,Los Angeles,Los Angeles Unified,KIPP Scholar Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1377,Directly funded,Y,5,8,307,250,81.40%,287,93.50%,307,250,81.40%,287,93.50%,Y
2014-2015,19,64733,125641,Los Angeles,Los Angeles Unified,KIPP Sol Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1379,Directly funded,Y,5,8,256,196,76.60%,235,91.80%,256,196,76.60%,235,91.80%,Y
2014-2015,19,64733,125864,Los Angeles,Los Angeles Unified,USC Hybrid High,Unified School District,High Schools (Public),Traditional,,Y,1401,Directly funded,Y,9,12,345,229,66.40%,289,83.80%,344,229,66.60%,289,84.00%,Y
2014-2015,19,64733,125963,Los Angeles,Los Angeles Unified,Leadership in Entertainment and Media Arts (LEMA),Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,228,138,60.50%,156,68.40%,203,124,61.10%,140,69.00%,Y
2014-2015,19,64733,125971,Los Angeles,Los Angeles Unified,San Fernando Institute of Applied Media,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,389,353,90.70%,364,93.60%,389,353,90.70%,364,93.60%,Y
2014-2015,19,64733,125989,Los Angeles,Los Angeles Unified,STEM Academy at Bernstein High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,563,338,60.00%,372,66.10%,544,329,60.50%,362,66.50%,Y
2014-2015,19,64733,126078,Los Angeles,Los Angeles Unified,Apple Academy Charter Public,Unified School District,Elementary Schools (Public),Traditional,,Y,1406,Directly funded,Y,K,5,372,240,64.50%,260,69.90%,360,232,64.40%,251,69.70%,Y
2014-2015,19,64733,126102,Los Angeles,Los Angeles Unified,City Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1410,Directly funded,Y,6,8,349,48,13.80%,57,16.30%,349,48,13.80%,57,16.30%,Y
2014-2015,19,64733,126136,Los Angeles,Los Angeles Unified,Math and Science College Preparatory,Unified School District,High Schools (Public),Traditional,,Y,1412,Directly funded,Y,9,12,224,191,85.30%,209,93.30%,224,191,85.30%,209,93.30%,Y
2014-2015,19,64733,126169,Los Angeles,Los Angeles Unified,Equitas Academy Charter #2,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1402,Directly funded,Y,5,8,200,168,84.00%,191,95.50%,200,168,84.00%,191,95.50%,Y
2014-2015,19,64733,126177,Los Angeles,Los Angeles Unified,Citizens of the World 2,Unified School District,Elementary Schools (Public),Traditional,,Y,1413,Directly funded,Y,K,7,373,153,41.00%,188,50.40%,359,144,40.10%,177,49.30%,Y
2014-2015,19,64733,126185,Los Angeles,Los Angeles Unified,Academy of Science and Engineering,Unified School District,High Schools (Public),Traditional,,Y,1411,Directly funded,Y,9,12,206,176,85.40%,194,94.20%,206,176,85.40%,194,94.20%,Y
2014-2015,19,64733,126193,Los Angeles,Los Angeles Unified,Citizens of the World 3,Unified School District,Elementary Schools (Public),Traditional,,Y,1414,Directly funded,Y,K,5,206,41,19.90%,56,27.20%,200,40,20.00%,55,27.50%,Y
2014-2015,19,64733,126375,Los Angeles,Los Angeles Unified,Sally Ride Elementary: A SMArT Academy,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,548,507,92.50%,509,92.90%,531,493,92.80%,495,93.20%,Y
2014-2015,19,64733,126383,Los Angeles,Los Angeles Unified,Playa Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,412,60,14.60%,83,20.10%,397,60,15.10%,82,20.70%,Y
2014-2015,19,64733,126391,Los Angeles,Los Angeles Unified,Lucille Roybal-Allard Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,588,528,89.80%,534,90.80%,574,515,89.70%,521,90.80%,Y
2014-2015,19,64733,126409,Los Angeles,Los Angeles Unified,Willow Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,551,509,92.40%,524,95.10%,534,494,92.50%,509,95.30%,Y
2014-2015,19,64733,126417,Los Angeles,Los Angeles Unified,Marguerite Poindexter LaMotte Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,495,459,92.70%,460,92.90%,484,449,92.80%,450,93.00%,Y
2014-2015,19,64733,126425,Los Angeles,Los Angeles Unified,"Gerald A. Lawson Academy of the Arts, Mathematics and Science",Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,6,646,561,86.80%,568,87.90%,628,548,87.30%,555,88.40%,Y
2014-2015,19,64733,126433,Los Angeles,Los Angeles Unified,"Dr. Lawrence H. Moore Math, Science, Technology Academy",Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,742,709,95.60%,710,95.70%,722,692,95.80%,693,96.00%,Y
2014-2015,19,64733,126441,Los Angeles,Los Angeles Unified,Michelle Obama Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,822,764,92.90%,770,93.70%,805,750,93.20%,756,93.90%,Y
2014-2015,19,64733,126458,Los Angeles,Los Angeles Unified,Walnut Park Middle A School of Social Justice and Service Learning,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,N,,,N,6,8,508,475,93.50%,487,95.90%,508,475,93.50%,487,95.90%,Y
2014-2015,19,64733,126466,Los Angeles,Los Angeles Unified,"Walnut Park Middle B Science, Technology, Engineering and Mathematics Academy",Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,535,480,89.70%,516,96.40%,535,480,89.70%,516,96.40%,Y
2014-2015,19,64733,126474,Los Angeles,Los Angeles Unified,"Hilda L. Solis Learning Academy School of Technology, Business and Education",Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,291,254,87.30%,258,88.70%,291,254,87.30%,258,88.70%,Y
2014-2015,19,64733,126482,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High A Critical Design and Gaming,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,550,420,76.40%,422,76.70%,531,404,76.10%,406,76.50%,Y
2014-2015,19,64733,126490,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High B Community Health Advocates,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,465,355,76.30%,359,77.20%,446,342,76.70%,346,77.60%,Y
2014-2015,19,64733,126508,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,453,336,74.20%,337,74.40%,432,325,75.20%,326,75.50%,Y
2014-2015,19,64733,126516,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,632,496,78.50%,503,79.60%,600,478,79.70%,485,80.80%,Y
2014-2015,19,64733,126524,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High B LIBRA Academy,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,584,526,90.10%,528,90.40%,581,524,90.20%,526,90.50%,Y
2014-2015,19,64733,126532,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High C School of Social Justice,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,581,501,86.20%,509,87.60%,570,492,86.30%,500,87.70%,Y
2014-2015,19,64733,126540,Los Angeles,Los Angeles Unified,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,431,299,69.40%,365,84.70%,424,293,69.10%,358,84.40%,Y
2014-2015,19,64733,126557,Los Angeles,Los Angeles Unified,Visual and Performing Arts at Legacy High School Complex,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,344,179,52.00%,211,61.30%,332,175,52.70%,207,62.30%,Y
2014-2015,19,64733,126573,Los Angeles,Los Angeles Unified,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,648,428,66.00%,444,68.50%,637,422,66.20%,438,68.80%,Y
2014-2015,19,64733,126581,Los Angeles,Los Angeles Unified,Harry Bridges Span,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,8,"1,218","1,089",89.40%,"1,138",93.40%,"1,202","1,073",89.30%,"1,122",93.30%,Y
2014-2015,19,64733,126599,Los Angeles,Los Angeles Unified,Sylmar Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,8,949,734,77.30%,761,80.20%,939,727,77.40%,754,80.30%,Y
2014-2015,19,64733,126607,Los Angeles,Los Angeles Unified,Porter Ranch Community,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,"1,051",80,7.60%,113,10.80%,"1,038",80,7.70%,113,10.90%,Y
2014-2015,19,64733,126615,Los Angeles,Los Angeles Unified,Academies of Education and Empowerment at Carson High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,531,220,41.40%,287,54.00%,519,214,41.20%,280,53.90%,Y
2014-2015,19,64733,126623,Los Angeles,Los Angeles Unified,Academy of Medical Arts at Carson High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,542,219,40.40%,281,51.80%,521,209,40.10%,269,51.60%,Y
2014-2015,19,64733,126797,Los Angeles,Los Angeles Unified,Aspire Centennial College Preparatory Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1436,Directly funded,Y,6,8,488,415,85.00%,467,95.70%,488,415,85.00%,467,95.70%,Y
2014-2015,19,64733,127217,Los Angeles,Los Angeles Unified,Alliance Alice M. Baxter College-Ready High,Unified School District,High Schools (Public),Traditional,,Y,1460,Directly funded,Y,9,12,90,75,83.30%,80,88.90%,90,75,83.30%,80,88.90%,Y
2014-2015,19,64733,127670,Los Angeles,Los Angeles Unified,KIPP Iluminar Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1508,Directly funded,Y,K,4,340,239,70.30%,293,86.20%,340,239,70.30%,293,86.20%,Y
2014-2015,19,64733,127787,Los Angeles,Los Angeles Unified,Humanities and Arts (HARTS) Academy of Los Angeles,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,448,278,62.10%,330,73.70%,436,269,61.70%,321,73.60%,Y
2014-2015,19,64733,127795,Los Angeles,Los Angeles Unified,Contreras Learning Center-School of Social Justice,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,500,459,91.80%,462,92.40%,472,435,92.20%,438,92.80%,Y
2014-2015,19,64733,127803,Los Angeles,Los Angeles Unified,Early College Academy-LA Trade Tech College,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,179,122,68.20%,131,73.20%,121,89,73.60%,94,77.70%,Y
2014-2015,19,64733,127829,Los Angeles,Los Angeles Unified,Studio,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,157,121,77.10%,136,86.60%,157,121,77.10%,136,86.60%,Y
2014-2015,19,64733,127852,Los Angeles,Los Angeles Unified,Executive Preparatory Academy of Finance,Unified School District,High Schools (Public),Traditional,,Y,1525,Directly funded,Y,9,12,170,113,66.50%,125,73.50%,170,113,66.50%,125,73.50%,Y
2014-2015,19,64733,127878,Los Angeles,Los Angeles Unified,Pathways Community,Unified School District,High Schools (Public),Traditional,,Y,1537,Directly funded,Y,9,12,115,97,84.30%,112,97.40%,115,97,84.30%,112,97.40%,Y
